light,timestamp
49.20,1702106450249
30.84,1702106511052
30.40,1702106571851
30.23,1702106632660
29.80,1702106693466
28.98,1702106754262
29.95,1702106815071
29.87,1702106875864
30.19,1702106936660
29.95,1702106997464
30.05,1702107058293
29.94,1702107119092
29.63,1702107179891
29.72,1702107240684
29.81,1702107301497
29.71,1702107362296
29.57,1702107423103
29.70,1702107483897
29.48,1702107544699
29.65,1702107605508
29.70,1702107666309
29.51,1702107727097
29.62,1702107787908
29.42,1702107848699
29.36,1702107909497
29.49,1702107970291
29.49,1702108031084
29.44,1702108091891
29.70,1702108152682
29.45,1702108213476
29.32,1702108274267
29.05,1702108335070
29.39,1702108395867
29.35,1702108456660
29.50,1702108517459
29.26,1702108578258
29.21,1702108639054
29.45,1702108699856
29.35,1702108760647
29.45,1702108821448
29.19,1702108882241
29.27,1702108943033
29.31,1702109003822
29.21,1702109064623
29.17,1702109125426
29.06,1702109186222
29.09,1702109247033
29.17,1702109307845
29.08,1702109368634
28.85,1702109429421
29.34,1702109490231
28.78,1702109551021
28.95,1702109611831
28.99,1702109672632
29.12,1702109733427
29.03,1702109794220
28.94,1702109855014
29.09,1702109915804
29.07,1702109976597
29.17,1702110037399
29.06,1702110098199
29.01,1702110158991
28.90,1702110219780
29.03,1702110280575
29.08,1702110341363
29.21,1702110402158
29.08,1702110462957
29.23,1702110523754
29.14,1702110584547
28.83,1702110645339
29.12,1702110706129
28.90,1702110766936
28.81,1702110827731
29.00,1702110888524
28.82,1702110949328
28.82,1702111010130
28.54,1702111070933
28.59,1702111131730
28.57,1702111192635
28.75,1702111253423
28.06,1702111314239
28.52,1702111375026
28.50,1702111435815
28.45,1702111496620
28.80,1702111557424
28.49,1702111618221
28.21,1702111679013
28.08,1702111739818
28.67,1702111800614
29.13,1702111861421
28.97,1702111922208
28.38,1702111983000
28.63,1702112043797
28.91,1702112104594
29.00,1702112165388
28.90,1702112226182
28.77,1702112286978
29.12,1702112347787
28.83,1702112408586
29.35,1702112469386
29.14,1702112530184
29.17,1702112590983
29.53,1702112651775
29.78,1702112712566
30.58,1702112773368
30.13,1702112834160
30.19,1702112894953
30.78,1702112955755
30.90,1702113016552
6.05,1702113077347
0.27,1702113138143
0.17,1702113198944
0.26,1702113259736
0.23,1702113320532
0.17,1702113381366
0.22,1702113442169
0.22,1702113503052
0.23,1702113563817
0.18,1702113624565
0.21,1702113685364
0.19,1702113746162
0.20,1702113806960
0.20,1702113867760
0.17,1702113928561
0.24,1702113989350
0.21,1702114050146
0.25,1702114110965
0.23,1702114171758
0.18,1702114232548
0.16,1702114293346
0.17,1702114354141
0.20,1702114414943
0.17,1702114475742
0.21,1702114536539
0.25,1702114597346
0.22,1702114658152
0.19,1702114718964
0.22,1702114779764
0.22,1702114840558
0.25,1702114901357
0.25,1702114962151
0.23,1702115022948
0.32,1702115083743
0.28,1702115144541
0.26,1702115205338
0.38,1702115266141
104.83,1702127422566
0.45,1702127500549
0.31,1702127561345
0.28,1702127622139
0.31,1702127682966
0.31,1702127743765
0.38,1702127804562
0.38,1702127865354
0.39,1702127926143
0.25,1702127986938
0.31,1702128047736
0.37,1702128108532
0.37,1702128169327
0.29,1702128230128
0.35,1702128290935
0.30,1702128351748
0.25,1702128412551
0.34,1702128473349
0.28,1702128534176
0.37,1702128594974
0.31,1702128655777
0.32,1702128716574
0.36,1702128777373
0.30,1702128838172
0.28,1702128898973
0.42,1702128959777
0.73,1702129020593
0.53,1702129081390
0.35,1702129142208
0.36,1702129203013
0.30,1702129263876
0.47,1702129324684
0.40,1702129385485
0.35,1702129446281
0.33,1702129507081
0.37,1702129567887
0.32,1702129628686
0.28,1702129689485
0.27,1702129750290
0.33,1702129811092
0.35,1702129871888
0.36,1702129932684
0.28,1702129993482
0.43,1702130054279
0.38,1702130115080
0.45,1702130175879
0.33,1702130236673
0.31,1702130297471
0.31,1702130358271
0.30,1702130419066
0.34,1702130479862
0.38,1702130540665
0.34,1702130601465
0.33,1702130662267
0.31,1702130723074
0.30,1702130783872
0.35,1702130844678
0.33,1702130905512
0.33,1702130966312
0.29,1702131027105
0.30,1702131087908
0.21,1702131148710
0.31,1702131209506
0.35,1702131270302
0.30,1702131331098
0.53,1702131391893
0.25,1702131452703
0.31,1702131513504
0.29,1702131574299
0.26,1702131635095
0.48,1702131695898
0.38,1702131756696
0.29,1702131817502
0.31,1702131878309
0.39,1702131939106
0.30,1702131999899
0.35,1702132060697
0.30,1702132121504
0.30,1702132182300
0.29,1702132243097
0.29,1702132303901
0.26,1702132364700
0.34,1702132425495
0.38,1702132486289
0.34,1702132547120
0.40,1702132607931
0.37,1702132668736
0.40,1702132729535
0.34,1702132790343
0.32,1702132851141
0.34,1702132911973
0.37,1702132972775
0.31,1702133033576
0.45,1702133094384
0.35,1702133155181
0.42,1702133215979
0.38,1702133276786
0.39,1702133337587
0.48,1702133398383
0.57,1702133459178
0.34,1702133519976
0.40,1702133580772
0.48,1702133641577
0.51,1702133702373
0.47,1702133763171
0.51,1702133823974
0.70,1702133884778
0.79,1702133945577
0.84,1702134006381
0.98,1702134067184
0.67,1702134127982
0.89,1702134188775
0.89,1702134249580
0.93,1702134310381
1.09,1702134371177
1.32,1702134431976
1.02,1702134492784
1.37,1702134553580
1.35,1702134614377
1.43,1702134675187
1.70,1702134735983
1.79,1702134796791
2.11,1702134857592
2.20,1702134918403
2.29,1702134979211
2.29,1702135040006
2.34,1702135100800
2.59,1702135161597
2.98,1702135222392
2.61,1702135283192
2.93,1702135343989
3.06,1702135404786
3.10,1702135465583
3.15,1702135526386
3.09,1702135587184
3.36,1702135647993
3.44,1702135708797
3.45,1702135769605
3.43,1702135830424
3.71,1702135891234
3.87,1702135952040
3.90,1702136012847
3.91,1702136073650
